Date,Partenaire,UC,SER,PLAT,CRT,IMP,Fax,Photocop,Onduleurs,Pc portable,Tel,GSM,Claviers,Souris,Switch,Routeur,V-Projecteur,Cable,Tonner,Scanner,Divers
2024-01-04,BANK ASSAFA,4.19,15,95,11,2.94,1.1,2,3.47,52,56,3.26,67,61,1.79,57,1,0,0,1.61,3.61
2024-01-05,BANK ASSAFA,4.41,27,107,11,1.1,0.69,1,3.26,19,37,2.94,65,72,2.77,98,1,0,0,0.69,1.79
2024-01-09,2 WLS,2.4,22,8,8,2.94,0.69,1,3.33,31,53,2.83,8,44,3.37,84,1,0,0,1.79,2.2
2024-01-10,MEDIATING,3.26,30,10,10,1.1,0.69,1,3.33,30,53,2.83,22,33,3.56,98,1,0,0,1.79,2.77
2024-01-12,AW BANK,3.47,37,124,12,2.4,1.1,1,3.37,17,66,2.64,21,26,3.99,98,1,0,0,1.1,3.5
2024-01-18,AW BANK,4.69,44,90,12,3.43,1.1,1,3.33,22,93,2.64,20,22,4.85,84,1,0,0,0.69,4.97
2024-01-24,AW BANK,4.45,44,120,12,3.43,1.1,1,3.33,22,93,2.64,20,22,4.08,84,1,0,0,0.69,4.7
2024-02-01,WEBHELP,4.11,22,60,10,3.04,1.1,2,3.22,36,82,3.14,60,60,1.79,70,1,0,0,1.79,2.77
2024-02-02,AW BANK,3.0,10,60,8,1.79,1.61,1,3.93,19,25,3.26,56,53,2.64,29,1,0,0,2.4,1.61
2024-02-08,BANK AL MAGHREB,4.44,43,96,12,2.89,1.1,1,3.33,19,66,2.94,32,20,3.93,84,1,0,0,0.69,3.93
2024-02-09,AW BANK,3.76,20,115,12,1.1,0.69,1,3.58,30,57,2.94,27,34,3.43,98,1,0,0,1.1,3.58
2024-02-20,AW BANK,4.13,26,62,11,2.94,1.1,1,3.3,18,57,3.04,40,50,2.77,98,1,0,0,1.39,3.3
2024-03-01,AW BANK,2.2,12,44,1,2.3,2.3,2,3.47,145,48,3.26,72,79,1.61,15,1,0,0,2.2,2.2
2024-03-07,AW BANK,3.53,1,8,1,2.4,3.04,3,3.71,131,14,3.26,62,78,3.04,15,1,0,0,2.71,0.69
2024-03-13,WEBHELP,3.71,44,50,12,3.37,1.1,1,3.3,14,93,2.94,30,28,3.4,84,1,0,0,0.69,3.83
2024-03-14,AW BANK,3.93,44,47,12,3.5,1.1,1,3.3,14,93,2.94,28,28,3.4,84,1,0,0,0.69,3.74
2024-03-20,ATTAWFIQ,4.32,34,69,12,2.77,0.69,2,3.3,18,63,2.94,63,38,3.18,98,1,0,0,1.61,3.85
2024-03-22,BDSI,4.64,44,67,12,3.43,1.1,1,3.33,22,93,2.64,20,22,4.06,84,1,0,0,0.69,4.84
2024-04-18,AW BANK,1.95,26,7,9,1.1,0.69,1,3.3,31,36,3.04,63,60,2.77,98,1,0,0,2.08,1.79
2027-05-09,AW BANK,3.22,21,4,1,2.64,2.48,3,3.53,128,5,3.26,75,80,3.26,43,1,0,0,2.71,1.1
2024-05-09,VITOGAZ,2.2,26,6,8,1.61,0.69,1,3.3,29,30,3.04,45,46,3.22,84,1,0,0,2.08,1.1
2024-05-13,BDSI,3.64,29,50,12,2.77,1.1,1,3.33,14,57,2.94,34,33,3.18,98,1,0,0,1.1,3.53
2024-05-17,AW BANK,1.79,2,8,1,1.1,2.56,3,3.71,145,16,3.26,66,82,3.43,15,1,0,0,2.71,1.39
2024-05-23,AW BANK,3.43,37,36,12,2.56,0.69,1,3.33,12,66,2.94,37,34,3.22,98,1,0,0,1.1,3.04
2024-06-12,LASFARGAZ,2.2,36,6,10,2.2,0.69,1,3.33,30,53,2.83,6,1,3.71,98,1,0,0,0.69,4.09
2024-07-03,AWB,2.4,16,55,2,3.91,2.48,3,3.47,142,67,3.26,68,84,1.39,43,1,0,0,2.2,2.2
2024-07-04,COOPËR PHARMA,4.43,3,62,1,4.56,2.08,2,4.56,128,49,3.26,69,72,2.48,15,1,0,0,2.56,1.61
2024-07-09,COOPËR PHARMA,3.5,38,50,19,3.5,1.1,1,2.64,15,120,2.83,34,36,3.18,98,1,0,0,1.1,2.08
2024-07-11,AWB,1.95,15,10,2,3.61,2.2,2,3.93,145,48,3.26,71,79,2.3,43,1,0,0,2.4,1.39
2024-07-12,AFMA,4.5,39,72,10,3.33,1.1,2,3.53,32,95,3.33,42,20,0.69,57,1,0,0,0.69,4.78
2024-07-15,SAFRAN,4.98,44,109,12,3.43,1.1,1,3.33,22,93,2.64,20,22,4.08,84,1,0,0,0.69,4.97
2024-07-18,WEBHELP,2.3,2,15,2,2.48,2.2,2,3.93,175,14,3.26,72,80,2.83,15,1,0,0,2.56,1.39
2024-07-26,AWB,3.0,7,51,4,1.1,2.08,2,3.71,145,48,3.26,56,71,1.95,15,1,0,0,2.08,2.64
2024-08-29,colorado,3.26,30,12,9,2.64,0.69,1,3.33,31,44,2.83,18,12,3.85,98,1,0,0,1.61,1.1
2024-09-05,awb,4.11,16,85,1,2.89,2.48,3,3.43,131,48,3.26,69,78,1.79,43,1,0,0,2.08,3.09
2024-09-18,awb,4.52,44,67,12,3.3,1.1,1,3.33,26,93,2.83,21,22,3.58,84,1,0,0,0.69,4.74
2024-09-26,awb,2.83,7,27,3,3.43,2.4,3,3.71,145,60,3.26,68,90,1.1,15,1,0,0,2.4,2.3
2024-10-03,BMCE,1.1,22,4,2,4.17,2.48,3,3.53,125,30,3.26,72,80,3.09,43,1,0,0,3.26,1.61
2024-10-02,awb,3.69,44,50,12,3.37,1.1,1,3.3,14,93,2.94,30,28,3.4,84,1,0,0,0.69,3.85
2024-10-09,la bourse,3.4,52,40,12,3.22,1.1,1,3.33,14,93,2.64,19,28,3.43,98,1,0,0,0.69,3.76
2024-10-14,Domaine (TPI ANFA),3.56,1,31,4,3.76,2.48,3,1.1,128,91,3.26,50,77,0.69,15,1,0,0,2.08,2.48
2024-02-16,Univers Digital,4.61,39,78,12,3.43,1.1,2,3.3,21,99,1.61,4,19,0.69,70,1,0,0,0.69,5.38
2024-10-17,AWB,2.64,2,116,2,2.08,2.56,3,3.71,145,36,3.26,71,80,1.95,15,1,0,0,2.4,2.4
2024-10-23,Domaine Aljadida,4.04,21,26,9,3.22,1.1,2,3.22,34,78,3.26,67,73,1.95,57,1,0,0,2.08,2.77
2024-10-23,Trésorerie provinciale el jadida,2.94,3,19,8,3.58,1.1,2,3.5,82,74,3.26,62,60,1.61,1,1,0,0,1.95,3.26
2024-10-25,MENPS,3.76,30,23,10,3.0,0.69,1,3.22,14,78,3.04,43,47,2.4,98,1,0,0,2.08,2.77
2024-10-29,cours d'appel Ain sabaa casablanca,3.18,2,19,3,2.89,2.56,4,3.71,145,36,3.26,72,84,1.61,15,1,0,0,2.4,2.08
2024-10-31,awb,2.08,2,32,7,3.18,0.69,2,3.5,80,86,3.14,60,67,0.69,29,1,0,0,1.79,2.08
2024-11-05,apsir,0.69,1,45,5,2.71,2.4,3,3.26,145,51,3.04,5,48,3.0,29,1,0,0,2.08,2.3
2024-11-08,awb,1.95,18,7,1,3.85,2.3,3,3.71,142,80,3.26,120,120,0.69,43,1,0,0,1.95,1.95
2024-11-14,awb,1.1,2,4,3,1.61,2.3,2,3.47,145,42,3.26,76,90,0.69,15,1,0,0,2.2,2.08
2024-12-05,awb,1.79,2,19,2,1.79,2.2,2,3.93,145,1,3.26,68,90,1.1,15,1,0,0,2.48,1.95
2024-12-06,Group 3 archetique,1.61,2,7,2,2.48,2.56,3,3.71,145,10,3.26,79,80,2.83,15,1,0,0,2.83,1.61
2024-12-06,domaine cours d'appel ,3.97,44,34,10,3.99,1.1,1,3.3,2,89,2.83,17,19,3.58,84,1,0,0,0.69,4.47
2024-12-12,awb,0.69,15,5,3,2.48,2.56,3,3.71,145,24,3.26,79,84,1.79,15,1,0,0,2.4,2.08
2024-12-19,awb,1.61,20,9,2,2.48,1.79,2,3.74,98,32,3.26,71,78,1.61,43,1,0,0,2.2,1.79
2024-12-26,awb,3.09,16,33,2,3.3,2.3,2,3.71,145,75,3.26,74,90,1.1,43,1,0,0,2.2,2.2
2024-12-27,AFMA,3.14,3,6,2,2.4,2.56,3,3.71,145,3,3.26,76,82,3.14,15,1,0,0,2.83,1.1
2024-12-30,INTELCOM,2.08,26,4,10,1.95,0.69,1,3.33,17,30,2.83,12,38,4.11,140,1,0,0,1.39,1.61
