Date,Partenaire,UC,SER,PLAT,CRT,IMP,Fax,Photocop,Onduleurs,Pc portable,Tel,GSM,Claviers,Souris,Switch,Routeur,V-Projecteur,Cable,Tonner,Scanner,Divers
2024-01-04,BANK ASSAFA,65,15,95,11,18,2,2,31,52,56,25,67,61,5,57,1,0,0,4,36
2024-01-05,BANK ASSAFA,81,27,107,11,2,1,1,25,19,37,18,65,72,15,98,1,0,0,1,5
2024-01-09,2 WLS,10,22,8,8,18,1,1,27,31,53,16,8,44,28,84,1,0,0,5,8
2024-01-10,MEDIATING,25,30,10,10,2,1,1,27,30,53,16,22,33,34,98,1,0,0,5,15
2024-01-12,AW BANK,31,37,124,12,10,2,1,28,17,66,13,21,26,53,98,1,0,0,2,32
2024-01-18,AW BANK,108,44,90,12,30,2,1,27,22,93,13,20,22,127,84,1,0,0,1,143
2024-01-24,AW BANK,85,44,120,12,30,2,1,27,22,93,13,20,22,58,84,1,0,0,1,109
2024-02-01,WEBHELP,60,22,60,10,20,2,2,24,36,82,22,60,60,5,70,1,0,0,5,15
2024-02-02,AW BANK,19,10,60,8,5,4,1,50,19,25,25,56,53,13,29,1,0,0,10,4
2024-02-08,BANK AL MAGHREB,84,43,96,12,17,2,1,27,19,66,18,32,20,50,84,1,0,0,1,50
2024-02-09,AW BANK,42,20,115,12,2,1,1,35,30,57,18,27,34,30,98,1,0,0,2,35
2024-02-20,AW BANK,61,26,62,11,18,2,1,26,18,57,20,40,50,15,98,1,0,0,3,26
2024-03-01,AW BANK,8,12,44,1,9,9,2,31,145,48,25,72,79,4,15,1,0,0,8,8
2024-03-07,AW BANK,33,1,8,1,10,20,3,40,131,14,25,62,78,20,15,1,0,0,14,1
2024-03-13,WEBHELP,40,44,50,12,28,2,1,26,14,93,18,30,28,29,84,1,0,0,1,45
2024-03-14,AW BANK,50,44,47,12,32,2,1,26,14,93,18,28,28,29,84,1,0,0,1,41
2024-03-20,ATTAWFIQ,74,34,69,12,15,1,2,26,18,63,18,63,38,23,98,1,0,0,4,46
2024-03-22,BDSI,103,44,67,12,30,2,1,27,22,93,13,20,22,57,84,1,0,0,1,126
2024-04-18,AW BANK,6,26,7,9,2,1,1,26,31,36,20,63,60,15,98,1,0,0,7,5
2027-05-09,AW BANK,24,21,4,1,13,11,3,33,128,5,25,75,80,25,43,1,0,0,14,2
2024-05-09,VITOGAZ,8,26,6,8,4,1,1,26,29,30,20,45,46,24,84,1,0,0,7,2
2024-05-13,BDSI,37,29,50,12,15,2,1,27,14,57,18,34,33,23,98,1,0,0,2,33
2024-05-17,AW BANK,5,2,8,1,2,12,3,40,145,16,25,66,82,30,15,1,0,0,14,3
2024-05-23,AW BANK,30,37,36,12,12,1,1,27,12,66,18,37,34,24,98,1,0,0,2,20
2024-06-12,LASFARGAZ,8,36,6,10,8,1,1,27,30,53,16,6,1,40,98,1,0,0,1,59
2024-07-03,AWB,10,16,55,2,49,11,3,31,142,67,25,68,84,3,43,1,0,0,8,8
2024-07-04,COOPËR PHARMA,83,3,62,1,95,7,2,95,128,49,25,69,72,11,15,1,0,0,12,4
2024-07-09,COOPËR PHARMA,32,38,50,19,32,2,1,13,15,120,16,34,36,23,98,1,0,0,2,7
2024-07-11,AWB,6,15,10,2,36,8,2,50,145,48,25,71,79,9,43,1,0,0,10,3
2024-07-12,AFMA,89,39,72,10,27,2,2,33,32,95,27,42,20,1,57,1,0,0,1,118
2024-07-15,SAFRAN,144,44,109,12,30,2,1,27,22,93,13,20,22,58,84,1,0,0,1,143
2024-07-18,WEBHELP,9,2,15,2,11,8,2,50,175,14,25,72,80,16,15,1,0,0,12,3
2024-07-26,AWB,19,7,51,4,2,7,2,40,145,48,25,56,71,6,15,1,0,0,7,13
2024-08-29,colorado,25,30,12,9,13,1,1,27,31,44,16,18,12,46,98,1,0,0,4,2
